"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"494","Klay Thompson","Golden State Warriors","3/28/2017",2016,3,11,14,"shot_yes","Jump Shot","3PT Field Goal",23,"Houston Rockets",-232,26,25
"495","Klay Thompson","Golden State Warriors","3/28/2017",2016,3,3,2,"shot_no","Jump Shot","2PT Field Goal",21,"Houston Rockets",210,21,33
"496","Klay Thompson","Golden State Warriors","3/28/2017",2016,2,11,44,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",200,136,13
"497","Klay Thompson","Golden State Warriors","3/28/2017",2016,1,8,6,"shot_yes","Jump Shot","3PT Field Goal",23,"Houston Rockets",-232,56,4
"498","Klay Thompson","Golden State Warriors","3/28/2017",2016,3,3,24,"shot_no","Jump Shot","2PT Field Goal",18,"Houston Rockets",-178,62,33
"499","Klay Thompson","Golden State Warriors","12/7/2016",2016,2,7,5,"shot_no","Jump Shot","2PT Field Goal",13,"Los Angeles Clippers",101,95,17
"500","Klay Thompson","Golden State Warriors","12/7/2016",2016,4,4,11,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",60,249,44
"501","Klay Thompson","Golden State Warriors","12/7/2016",2016,1,10,52,"shot_no","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",-230,-5,2
"502","Klay Thompson","Golden State Warriors","12/7/2016",2016,3,7,19,"shot_no","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",236,7,29
"503","Klay Thompson","Golden State Warriors","12/7/2016",2016,1,11,42,"shot_no","Jump Shot","2PT Field Goal",16,"Los Angeles Clippers",-168,16,1
"504","Klay Thompson","Golden State Warriors","12/7/2016",2016,1,6,5,"shot_no","Jump Shot","2PT Field Goal",17,"Los Angeles Clippers",-114,139,6
"505","Klay Thompson","Golden State Warriors","12/7/2016",2016,3,10,15,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",156,213,26
"506","Klay Thompson","Golden State Warriors","12/7/2016",2016,3,7,34,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Clippers",135,208,29
"507","Klay Thompson","Golden State Warriors","12/25/2016",2016,2,11,21,"shot_yes","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",230,11,13
"508","Klay Thompson","Golden State Warriors","1/8/2017",2016,2,3,11,"shot_no","Jump Shot","2PT Field Goal",19,"Sacramento Kings",43,193,21
"509","Klay Thompson","Golden State Warriors","11/25/2016",2016,3,1,21,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",230,86,35
"510","Klay Thompson","Golden State Warriors","11/25/2016",2016,2,0,1,"shot_no","Jump Shot","2PT Field Goal",14,"Los Angeles Lakers",-142,11,24
"511","Klay Thompson","Golden State Warriors","11/25/2016",2016,1,9,15,"shot_no","Jump Shot","2PT Field Goal",14,"Los Angeles Lakers",14,143,3
"512","Klay Thompson","Golden State Warriors","11/25/2016",2016,2,9,22,"shot_no","Jump Shot","2PT Field Goal",16,"Los Angeles Lakers",54,158,15
"513","Klay Thompson","Golden State Warriors","11/25/2016",2016,1,10,46,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",-15,243,2
"514","Klay Thompson","Golden State Warriors","12/25/2016",2016,3,4,46,"shot_yes","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",232,61,32
"515","Klay Thompson","Golden State Warriors","12/25/2016",2016,3,5,10,"shot_yes","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",-237,-11,31
"516","Klay Thompson","Golden State Warriors","12/25/2016",2016,2,10,5,"shot_no","Jump Shot","3PT Field Goal",22,"Cleveland Cavaliers",223,-1,14
"517","Klay Thompson","Golden State Warriors","12/25/2016",2016,2,8,4,"shot_yes","Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",-209,144,16
"518","Klay Thompson","Golden State Warriors","12/25/2016",2016,1,10,51,"shot_no","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",-233,-5,2
"519","Klay Thompson","Golden State Warriors","12/25/2016",2016,3,10,41,"shot_no","Jump Shot","3PT Field Goal",28,"Cleveland Cavaliers",-210,188,26
"520","Klay Thompson","Golden State Warriors","12/25/2016",2016,3,7,34,"shot_yes","Jump Shot","3PT Field Goal",22,"Cleveland Cavaliers",-225,-1,29
"521","Klay Thompson","Golden State Warriors","12/25/2016",2016,1,6,2,"shot_no","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",232,-16,6
"522","Klay Thompson","Golden State Warriors","12/25/2016",2016,1,9,31,"shot_no","Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",-166,210,3
"523","Klay Thompson","Golden State Warriors","3/6/2017",2016,1,7,51,"shot_no","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",151,203,5
"524","Klay Thompson","Golden State Warriors","12/8/2016",2016,1,9,30,"shot_no","Jump Shot","3PT Field Goal",23,"Utah Jazz",-232,-21,3
"525","Klay Thompson","Golden State Warriors","1/8/2017",2016,2,4,36,"shot_yes","Jump Shot","3PT Field Goal",24,"Sacramento Kings",109,224,20
"526","Klay Thompson","Golden State Warriors","1/8/2017",2016,2,2,22,"shot_no","Jump Shot","3PT Field Goal",22,"Sacramento Kings",-222,11,22
"527","Klay Thompson","Golden State Warriors","1/8/2017",2016,3,6,6,"shot_no","Jump Shot","3PT Field Goal",22,"Sacramento Kings",-227,33,30
"528","Klay Thompson","Golden State Warriors","1/8/2017",2016,3,5,59,"shot_yes","Jump Shot","2PT Field Goal",19,"Sacramento Kings",197,2,31
"529","Klay Thompson","Golden State Warriors","1/8/2017",2016,4,10,59,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",210,139,38
"530","Klay Thompson","Golden State Warriors","1/8/2017",2016,3,9,33,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",207,146,27
"531","Klay Thompson","Golden State Warriors","1/8/2017",2016,1,9,29,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",132,223,3
"532","Klay Thompson","Golden State Warriors","1/8/2017",2016,2,9,12,"shot_no","Jump Shot","2PT Field Goal",20,"Sacramento Kings",163,120,15
"533","Klay Thompson","Golden State Warriors","1/8/2017",2016,1,11,6,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",159,198,1
"534","Klay Thompson","Golden State Warriors","12/8/2016",2016,4,9,42,"shot_yes","Jump Shot","2PT Field Goal",20,"Utah Jazz",-192,75,39
"535","Klay Thompson","Golden State Warriors","3/6/2017",2016,3,7,2,"shot_yes","Jump Shot","3PT Field Goal",24,"Atlanta Hawks",240,16,29
"536","Klay Thompson","Golden State Warriors","12/8/2016",2016,4,9,4,"shot_no","Jump Shot","2PT Field Goal",20,"Utah Jazz",-187,80,39
"537","Klay Thompson","Golden State Warriors","12/8/2016",2016,1,6,49,"shot_no","Jump Shot","3PT Field Goal",25,"Utah Jazz",-145,210,6
"538","Klay Thompson","Golden State Warriors","12/8/2016",2016,1,11,18,"shot_no","Jump Shot","3PT Field Goal",23,"Utah Jazz",-7,239,1
"539","Klay Thompson","Golden State Warriors","12/8/2016",2016,4,7,36,"shot_no","Jump Shot","2PT Field Goal",18,"Utah Jazz",128,139,41
"540","Klay Thompson","Golden State Warriors","12/8/2016",2016,1,3,26,"shot_no","Jump Shot","3PT Field Goal",22,"Utah Jazz",-228,2,9
